Timestamp,Precipitation total [mm],Temperature [Â°C]
2023-01-01,0.0,17.10611
2023-01-02,0.0,13.320465
2023-01-03,4.7683716e-07,8.502594
2023-01-04,0.00014305115,6.62027
2023-01-05,0.00023555756,9.446686
2023-01-06,0.00017309189,5.5397034
2023-01-07,2.6226044e-05,9.207672
2023-01-08,0.0,7.9269104
2023-01-09,9.059906e-05,6.761383
2023-01-10,6.67572e-05,5.6009827
2023-01-11,0.0,6.549469
2023-01-12,0.0,9.027985
2023-01-13,6.198883e-06,9.996979
2023-01-14,0.0,8.915192
2023-01-15,1.0967255e-05,7.714264
2023-01-16,0.0,6.502838
2023-01-17,0.0,6.6769104
2023-01-18,0.00015926361,1.2042542
2023-01-19,4.7683716e-07,1.363678
2023-01-20,1.6212463e-05,0.54067993
2023-01-21,0.00066137314,-0.015472412
2023-01-22,5.8174133e-05,1.3148499
2023-01-23,3.33786e-06,1.7582092
2023-01-24,2.1457672e-05,2.8817444
2023-01-25,1.4305115e-06,1.9588928
2023-01-26,1.001358e-05,0.5079651
2023-01-27,7.1525574e-05,0.8326721
2023-01-28,3.1471252e-05,-0.5562439
2023-01-29,1.1444092e-05,-0.27426147
2023-01-30,0.0009393692,2.5438538
2023-01-31,0.00013446808,3.155426
2023-02-01,0.0004477501,4.132721
2023-02-02,0.00018787384,4.354889
2023-02-03,0.0013542175,4.781891
2023-02-04,0.00016880035,1.3155823
2023-02-05,0.0,-0.76083374
2023-02-06,1.9073486e-06,-0.51937866
2023-02-07,9.536743e-07,-0.36557007
2023-02-08,3.33786e-06,0.72769165
2023-02-09,0.0,3.4779358
2023-02-10,0.0,3.2252502
2023-02-11,4.7683716e-07,5.504303
2023-02-12,4.7683716e-06,6.5001526
2023-02-13,3.71933e-05,5.787262
2023-02-14,0.0,5.2809143
2023-02-15,0.0,5.7757874
2023-02-16,0.0,7.5438538
2023-02-17,2.5749207e-05,8.620026
2023-02-18,0.0004606247,7.190094
2023-02-19,6.580353e-05,4.4186096
2023-02-20,0.0,10.253082
2023-02-21,0.0002784729,10.609528
2023-02-22,0.0,7.8229065
2023-02-23,0.0,10.0416565
2023-02-24,4.005432e-05,6.266754
2023-02-25,0.00017929077,2.9723206
2023-02-26,0.00011444092,2.0445862
2023-02-27,0.00010681152,2.2098694
2023-02-28,0.0,2.9237366
2023-03-01,0.0,4.29776
2023-03-02,0.0,6.0482483
2023-03-03,4.7683716e-07,-0.31454468
2023-03-04,2.002716e-05,3.067047
2023-03-05,6.055832e-05,1.9701233
2023-03-06,0.00013923645,4.217926
2023-03-07,1.8119812e-05,5.7709045
2023-03-08,0.00012731552,3.903717
2023-03-09,8.583069e-06,3.6390686
2023-03-10,0.0,13.189117
2023-03-11,0.00011539459,1.6246643
2023-03-12,0.0,5.6095276
2023-03-13,0.00034475327,10.807037
2023-03-14,2.9563904e-05,11.803131
2023-03-15,8.106232e-06,5.651764
2023-03-16,0.0,6.877838
2023-03-17,0.0,10.871246
2023-03-18,0.0,12.841705
2023-03-19,0.0,14.954987
2023-03-20,5.1498413e-05,13.585602
2023-03-21,1.5258789e-05,9.871979
2023-03-22,0.0,16.76773
2023-03-23,0.0,17.237457
2023-03-24,1.7166138e-05,19.623932
2023-03-25,0.001906395,10.564362
2023-03-26,3.2424927e-05,11.37735
2023-03-27,3.8146973e-06,3.8089905
2023-03-28,0.00011062622,2.6510315
2023-03-29,0.0,8.996002
2023-03-30,6.67572e-06,14.193512
2023-03-31,0.0009660721,12.844391
2023-04-01,6.866455e-05,11.31778
2023-04-02,2.861023e-06,3.7760315
2023-04-03,3.33786e-06,4.6163635
2023-04-04,0.0,1.7809143
2023-04-05,0.00030708313,5.322174
2023-04-06,0.0,6.5751038
2023-04-07,0.00012302399,2.8275452
2023-04-08,4.7683716e-07,8.21817
2023-04-09,6.151199e-05,8.371979
2023-04-10,0.0,12.9027405
2023-04-11,0.0009508133,9.6510315
2023-04-12,0.0,12.064117
2023-04-13,0.0010299683,9.383942
2023-04-14,0.00026082993,10.847565
2023-04-15,0.0,11.703522
2023-04-16,3.1471252e-05,14.022369
2023-04-17,0.0001077652,12.650787
2023-04-18,2.7656555e-05,13.141266
2023-04-19,0.00016403198,6.438385
2023-04-20,6.580353e-05,13.912018
2023-04-21,0.0,18.055084
2023-04-22,0.0,19.137848
2023-04-23,0.00011873245,20.006256
2023-04-24,0.0006494522,14.776276
2023-04-25,0.0,11.61026
2023-04-26,9.10759e-05,7.923004
2023-04-27,7.8201294e-05,9.712311
2023-04-28,4.339218e-05,16.106354
2023-04-29,0.00032949448,14.85733
2023-04-30,0.0,13.452057
2023-05-01,0.0,17.238922
2023-05-02,4.863739e-05,16.847076
2023-05-03,0.0,12.561676
2023-05-04,0.0,16.215973
2023-05-05,0.0,19.865387
2023-05-06,5.2452087e-06,12.739166
2023-05-07,4.2915344e-06,9.7211
2023-05-08,0.0,13.501617
2023-05-09,0.0,16.087555
2023-05-10,0.0,18.569
2023-05-11,0.0,19.50528
2023-05-12,1.9073486e-06,20.002594
2023-05-13,6.67572e-06,16.963531
2023-05-14,9.536743e-07,18.479889
2023-05-15,0.00094509125,14.601471
2023-05-16,2.2888184e-05,16.065094
2023-05-17,0.0,11.915192
2023-05-18,0.0,13.30191
2023-05-19,2.4795532e-05,12.186188
2023-05-20,0.0,18.602448
2023-05-21,9.536743e-07,24.7919
2023-05-22,0.0,22.647858
2023-05-23,0.00054359436,17.099274
2023-05-24,9.536743e-07,11.477936
2023-05-25,4.7683716e-06,17.669342
2023-05-26,0.0,18.77652
2023-05-27,0.0,18.292145
2023-05-28,0.0,19.935455
2023-05-29,0.0,22.67862
2023-05-30,0.0,19.960602
2023-05-31,0.0,22.894684
2023-06-01,0.0,24.925201
2023-06-02,6.9618225e-05,16.796783
2023-06-03,0.0,17.940582
2023-06-04,0.0,21.7753
2023-06-05,0.0,24.07193
2023-06-06,0.0,22.557037
2023-06-07,4.673004e-05,24.026764
2023-06-08,1.9073486e-06,25.835114
2023-06-09,0.00039577484,20.76529
2023-06-10,2.861023e-06,25.865387
2023-06-11,0.0,23.819977
2023-06-12,0.0,23.141022
2023-06-13,2.9087067e-05,19.221832
2023-06-14,5.9127808e-05,17.42398
2023-06-15,5.2928925e-05,19.298004
2023-06-16,2.0980835e-05,21.338043
2023-06-17,1.859665e-05,20.967194
2023-06-18,3.0517578e-05,23.167877
2023-06-19,2.861023e-06,26.798248
2023-06-20,9.536743e-07,31.291412
2023-06-21,4.7683716e-06,30.078522
2023-06-22,4.7683716e-07,28.62564
2023-06-23,0.008219242,23.60025
2023-06-24,0.0,21.40274
2023-06-25,4.7683716e-07,24.185455
2023-06-26,4.7683716e-07,27.269928
2023-06-27,2.5749207e-05,19.140778
2023-06-28,0.00014972687,15.466949
2023-06-29,4.7683716e-07,23.480865
2023-06-30,0.0,25.23819
2023-07-01,0.00010728836,21.691315
2023-07-02,6.198883e-06,21.978424
2023-07-03,6.67572e-06,24.2128
2023-07-04,7.1525574e-06,24.937408
2023-07-05,1.1920929e-05,25.130524
2023-07-06,9.536743e-06,22.47403
2023-07-07,0.0,25.419098
2023-07-08,0.0,28.116608
2023-07-09,0.0,29.67398
2023-07-10,0.0,27.047028
2023-07-11,0.0,25.910797
2023-07-12,1.8119812e-05,27.376373
2023-07-13,0.0,21.615387
2023-07-14,2.0503998e-05,23.740387
2023-07-15,0.0,30.87442
2023-07-16,0.0,24.744781
2023-07-17,2.861023e-05,24.705719
2023-07-18,0.0,23.843658
2023-07-19,0.0,26.600739
2023-07-20,3.1471252e-05,20.58023
2023-07-21,4.720688e-05,23.463287
2023-07-22,1.4305115e-06,21.324371
2023-07-23,2.861023e-06,27.544342
2023-07-24,7.1525574e-06,28.55484
2023-07-25,1.8119812e-05,21.628082
2023-07-26,6.771088e-05,17.18692
2023-07-27,9.059906e-06,21.2753
2023-07-28,0.0001282692,23.708405
2023-07-29,0.00034427643,25.203278
2023-07-30,6.532669e-05,23.260406
2023-07-31,3.8146973e-05,20.793121
2023-08-01,0.00040721893,20.68155
2023-08-02,1.0967255e-05,23.54483
2023-08-03,3.7670135e-05,23.965485
2023-08-04,1.4305115e-05,23.535309
2023-08-05,0.0027275085,17.94522
2023-08-06,0.0024709702,14.485748
2023-08-07,8.201599e-05,17.818756
2023-08-08,2.336502e-05,18.671051
2023-08-09,6.0081482e-05,16.753815
2023-08-10,2.861023e-05,20.917389
2023-08-11,0.0,22.891998
2023-08-12,0.0,28.367584
2023-08-13,6.198883e-06,27.120026
2023-08-14,0.0,29.539215
2023-08-15,0.0,31.420807
2023-08-16,5.9127808e-05,29.297272
2023-08-17,9.536743e-07,27.076813
2023-08-18,1.9073486e-05,26.315338
2023-08-19,4.7683716e-07,29.017242
2023-08-20,6.67572e-06,30.784088
2023-08-21,9.536743e-07,26.675446
2023-08-22,2.1457672e-05,29.697906
2023-08-23,0.0,24.684235
2023-08-24,0.0,26.164703
2023-08-25,0.0,29.82608
2023-08-26,0.0,26.511139
2023-08-27,6.198883e-05,20.739899
2023-08-28,4.7683716e-05,17.10733
2023-08-29,6.67572e-06,15.722076
2023-08-30,2.861023e-05,15.24942
2023-08-31,6.198883e-06,16.940826
2023-09-01,9.059906e-06,20.595856
2023-09-02,1.7642975e-05,20.886871
2023-09-03,1.5735626e-05,21.7753
2023-09-04,0.0,20.802399
2023-09-05,0.0,23.159576
2023-09-06,0.0,25.401276
2023-09-07,0.0,25.38272
2023-09-08,0.0,26.003326
2023-09-09,0.0,27.041168
2023-09-10,0.0,28.45816
2023-09-11,0.0,28.148834
2023-09-12,0.0,28.995758
2023-09-13,0.0,27.4711
2023-09-14,1.4305115e-05,18.116852
2023-09-15,1.5258789e-05,20.946442
2023-09-16,0.0,23.342194
2023-09-17,6.866455e-05,25.074615
2023-09-18,0.0,26.229889
2023-09-19,1.9073486e-06,20.94107
2023-09-20,0.0,23.353668
2023-09-21,1.9073486e-06,25.859772
2023-09-22,1.7166138e-05,21.463531
2023-09-23,0.0,17.284088
2023-09-24,1.9073486e-05,17.470367
2023-09-25,4.7683716e-07,19.382965
2023-09-26,0.0,22.122711
2023-09-27,0.0,26.001617
2023-09-28,0.0,25.646149
2023-09-29,0.0,25.707672
2023-09-30,0.0,17.037018
2023-10-01,0.0,19.019196
2023-10-02,0.0,22.781647
2023-10-03,0.0,25.28482
2023-10-04,0.0,15.720367
2023-10-05,0.0,16.771393
2023-10-06,1.4305115e-06,17.801178
2023-10-07,1.9073486e-06,17.848053
2023-10-08,0.0,12.428864
2023-10-09,1.9073486e-06,7.622223
2023-10-10,2.3841858e-06,14.209137
2023-10-11,0.0,22.494293
2023-10-12,0.00042676926,17.133698
2023-10-13,0.0,20.374176
2023-10-14,0.0010256767,17.07193
2023-10-15,3.0994415e-05,10.584137
2023-10-16,9.6321106e-05,9.645172
2023-10-17,6.198883e-05,10.097076
2023-10-18,0.0,12.39444
2023-10-19,0.00042963028,8.4618225
2023-10-20,4.7683716e-05,11.951569
2023-10-21,0.0,20.256012
2023-10-22,0.0016145706,12.323395
2023-10-23,3.4332275e-05,15.939606
2023-10-24,0.000113487244,15.689362
2023-10-25,2.193451e-05,13.889801
2023-10-26,8.535385e-05,13.779938
2023-10-27,0.0004911423,10.152985
2023-10-28,0.0001244545,13.093903
2023-10-29,0.0,16.138824
2023-10-30,0.0,18.948639
2023-10-31,0.000106334686,14.444977
2023-11-01,0.0,14.080963
2023-11-02,0.0,14.307037
2023-11-03,0.0022935867,10.076324
2023-11-04,0.0,11.132477
2023-11-05,0.0,12.349762
2023-11-06,5.722046e-06,12.682037
2023-11-07,0.0,12.8055725
2023-11-08,4.720688e-05,9.608063
2023-11-09,0.0,12.19986
2023-11-10,4.5776367e-05,11.064362
2023-11-11,9.536743e-07,9.656647
2023-11-12,8.34465e-05,7.823639
2023-11-13,0.0,8.582428
2023-11-14,0.0,12.131744
2023-11-15,2.861023e-05,8.819977
2023-11-16,1.4305115e-05,9.879059
2023-11-17,1.6212463e-05,3.3761292
2023-11-18,0.0001578331,3.8627014
2023-11-19,0.000875473,4.921051
2023-11-20,0.0017976761,10.048981
2023-11-21,0.00041007996,7.2032776
2023-11-22,0.0,-0.657074
2023-11-23,1.4305115e-06,6.07193
2023-11-24,0.0008907318,3.1424866
2023-11-25,8.010864e-05,1.3048401
2023-11-26,2.527237e-05,-0.45077515
2023-11-27,1.9073486e-06,0.81362915
2023-11-28,0.0003643036,-1.6006775
2023-11-29,0.0,-1.5603943
2023-11-30,1.7166138e-05,1.3644104
2023-12-01,0.00013971329,-1.0418396
2023-12-02,0.00028562546,-2.3211365
2023-12-03,1.9073486e-06,-2.190033
2023-12-04,0.0,-4.3352966
2023-12-05,0.0,-0.688324
2023-12-06,3.9577484e-05,-0.8892517
2023-12-07,3.9100647e-05,0.2928772
2023-12-08,0.0,-0.29769897
2023-12-09,6.198883e-05,1.6297913
2023-12-10,1.8119812e-05,4.277252
2023-12-11,0.0,9.304352
2023-12-12,4.6253204e-05,7.992096
2023-12-13,0.00037670135,6.1061096
2023-12-14,1.1444092e-05,4.2049866
2023-12-15,1.9073486e-06,3.4532776
2023-12-16,0.0,7.183014
2023-12-17,8.583069e-06,8.407867
2023-12-18,0.0,9.831207
2023-12-19,0.0,8.54068
2023-12-20,3.385544e-05,6.2565002
2023-12-21,0.00045108795,6.3302307
2023-12-22,0.00044107437,2.6600647
2023-12-23,0.00042629242,1.4813538
2023-12-24,0.00038814545,6.891754
2023-12-25,0.0002746582,11.157867
2023-12-26,6.0081482e-05,10.816803
2023-12-27,0.0,6.013092
2023-12-28,0.0,8.889069
2023-12-29,0.0,11.048737
2023-12-30,3.0517578e-05,8.194244
2023-12-31,0.0,6.8492737
